Date,  Galaxy,Planet_ID,Country,Disaster,Death_Count
12-07-2017,Milky Way,62,New Zealand,Landslide,13
30-01-2019,Milky Way,8,Mongolia,Earthquake,44
24-06-2018,Milky Way,249,North Korea,Volcano,9
19-06-2018,Milky Way,74,North Korea,Volcano,50
19-11-2018,Milky Way,270,UK,Earthquake,0
10-06-2018,Milky Way,67,Japan,Volcano,45
13-05-2017,Milky Way,104,Pakistan,Flood,8
26-12-2017,Milky Way,69,Spain,Flood,0
13-02-2019,Sombrero,,Pakistan,,468
21-11-2017,Milky Way,103,Singapore,Earthquake,37
14-05-2017,Milky Way,36,India,Earthquake,6
26-05-2018,Milky Way,101,UK,Earthquake,0
21-01-2019,Milky Way,258,China,Landslide,17
15-08-2018,Sombrero,,Russia,,2436
05-01-2019,Milky Way,260,Spain,Flood,12
21-01-2018,Milky Way,8,Mongolia,Earthquake,35
29-07-2017,Sombrero,,Pakistan,,0
17-07-2017,Milky Way,34,Japan,Volcano,121
25-05-2019,Milky Way,79,Germany,Earthquake,9
31-07-2018,Milky Way,14,UK,Earthquake,29
11-06-2017,Sombrero,,Bangladesh,,497
15-03-2019,Milky Way,271,China,Landslide,0
15-11-2018,Milky Way,147,South Korea,BushFIre,79
06-04-2018,Milky Way,72,New Zealand,Landslide,0
19-09-2017,Milky Way,34,Japan,Volcano,329
08-09-2017,Sombrero,,Mongolia,,1192
29-10-2018,Milky Way,9,Mongolia,Earthquake,54
27-08-2018,Milky Way,77,North Korea,Volcano,28
25-06-2019,Milky Way,72,New Zealand,Landslide,13
20-02-2018,Milky Way,270,UK,Earthquake,0
25-02-2018,Milky Way,258,China,Landslide,0
24-07-2017,Milky Way,100,UK,Earthquake,0
05-05-2019,Milky Way,73,New Zealand,Landslide,20
11-01-2019,Milky Way,9,Mongolia,Earthquake,47
19-04-2019,Milky Way,137,North Korea,Volcano,55
27-12-2017,Milky Way,104,Pakistan,Flood,19
24-06-2017,Milky Way,14,UK,Earthquake,0
08-06-2018,Sombrero,,New Zealand,,0
25-06-2017,Sombrero,,Japan,,100
27-02-2018,Milky Way,63,Pakistan,Flood,20
24-01-2019,Milky Way,48,Australia,Flood,59
21-04-2018,Milky Way,48,Australia,Flood,44
14-06-2018,Milky Way,62,New Zealand,Landslide,9
08-02-2018,Milky Way,264,New Zealand,Landslide,0
26-01-2019,Milky Way,159,Singapore,Earthquake,20
05-05-2017,Milky Way,78,North Korea,Volcano,21
12-04-2017,Milky Way,255,India,Earthquake,0
24-10-2017,Milky Way,251,Malaysia,Earthquake,23
11-12-2017,Milky Way,68,Japan,Volcano,17
16-07-2018,Sombrero,,Japan,,1308
19-06-2019,Sombrero,,New Zealand,,0
19-02-2018,Milky Way,262,UK,Earthquake,0
19-04-2019,Sombrero,,Mongolia,,2439
10-01-2019,Sombrero,,Malaysia,,28
10-04-2019,Milky Way,159,Singapore,Earthquake,32
09-09-2017,Milky Way,262,UK,Earthquake,0
03-09-2018,Milky Way,257,Japan,Volcano,12
28-10-2017,Sombrero,,Mongolia,,373
26-12-2018,Milky Way,78,North Korea,Volcano,21
03-10-2017,Milky Way,265,France,Flood,0
28-03-2018,Milky Way,159,Singapore,Earthquake,0
31-10-2018,Milky Way,15,New Zealand,Landslide,407
05-11-2017,Milky Way,63,Pakistan,Flood,1
21-12-2018,Milky Way,258,China,Landslide,13
20-02-2019,Sombrero,,Pakistan,,526
28-08-2017,Milky Way,262,UK,Earthquake,0
16-03-2018,Milky Way,136,Spain,Flood,79
12-06-2019,Milky Way,251,Malaysia,Earthquake,35
17-09-2018,Milky Way,62,New Zealand,Landslide,9
05-07-2019,Sombrero,,Mongolia,,469
21-01-2019,Milky Way,10,Mongolia,Earthquake,79
11-09-2018,Milky Way,64,Bangladesh,Flood,52
30-01-2019,Milky Way,68,Japan,Volcano,14
